NumID,Honest,total time,foundTxMin,Validation time,successful
975608501,true,,,7,false,-1,false
,,3,false,-1,false
,,3,false,-1,false
,,4,false,-1,false
,,4,false,-1,false
,,3,false,-1,false
,,3,false,-1,false
,,3,false,-1,false
,,3,false,-1,false
,,5,false,-1,false

202490324,true,,,6,false,-1,false
,,6,false,-1,false
,,6,false,-1,false
,,9,false,-1,false
,,15,false,-1,false
,,10,false,-1,false
,,6,false,-1,false
,,7,false,-1,false
,,7,false,-1,false
,,6,false,-1,false

463895613,true,,,5,false,-1,false
,,5,false,-1,false
,,6,false,-1,false
,,9,false,-1,false
,,6,false,-1,false
,,5,false,-1,false
,,6,false,-1,false
,,6,false,-1,false
,,6,false,-1,false
,,5,false,-1,false

478560166,true,,,5,false,-1,false
,,5,false,-1,false
,,4,false,-1,false
,,6,false,-1,false
,,6,false,-1,false
,,9,false,-1,false
,,6,false,-1,false
,,4,false,-1,false
,,6,false,-1,false
,,5,false,-1,false

783646678,true,,,1,false,-1,false
,,1,false,-1,false
,,1,false,-1,false
,,2,false,-1,false
,,1,false,-1,false
,,1,false,-1,false
,,2,false,-1,false
,,2,false,-1,false
,,1,false,-1,false
,,1,false,-1,false

426445108,true,,,9,false,-1,false
,,5,false,-1,false
,,5,false,-1,false
,,9,false,-1,false
,,8,false,-1,false
,,9,false,-1,false
,,6,false,-1,false
,,6,false,-1,false
,,5,false,-1,false
,,6,false,-1,false

792834394,true,,,5,false,-1,false
,,6,false,-1,false
,,9,false,-1,false
,,10,false,-1,false
,,6,false,-1,false
,,3,false,-1,false
,,4,false,-1,false
,,7,false,-1,false
,,12,false,-1,false
,,4,false,-1,false

659714803,true,,,14,false,-1,false
,,25,false,-1,false
,,5,false,-1,false
,,6,false,-1,false
,,12,false,-1,false
,,13,false,-1,false
,,7,false,-1,false
,,6,false,-1,false
,,6,false,-1,false
,,10,false,-1,false

609289810,true,,,5,false,-1,false
,,6,false,-1,false
,,5,false,-1,false
,,6,false,-1,false
,,7,false,-1,false
,,13,false,-1,false
,,8,false,-1,false
,,6,false,-1,false
,,5,false,-1,false
,,6,false,-1,false

697350967,true,,,7,false,-1,false
,,14,false,-1,false
,,13,false,-1,false
,,6,false,-1,false
,,8,false,-1,false
,,7,false,-1,false
,,8,false,-1,false
,,10,false,-1,false
,,17,false,-1,false
,,8,false,-1,false

Success Rate = 0.0
