NumID,Honest,Transaction Trials,Transaction Success,Transaction time(per),Authenticated count,Sound count,Correct count,Has Balance count,Successful,Timer Per Validator(ms)
975608501,true,30,0,,,,,1665,8,8,0,8,false,0
,,,,1725,8,0,0,8,false,0
,,,,908,8,0,0,8,false,0
,,,,945,9,1,0,9,false,0
,,,,1025,9,0,0,9,false,0
,,,,791,9,0,0,9,false,0
,,,,788,9,0,0,9,false,0
,,,,1009,9,0,0,9,false,0
,,,,843,9,0,0,9,false,0
,,,,736,9,0,0,9,false,0
,,,,712,9,0,0,9,false,0
,,,,691,9,0,0,9,false,0
,,,,651,9,0,0,9,false,0
,,,,718,9,0,0,9,false,0
,,,,601,9,0,0,9,false,0
,,,,466,9,0,0,9,false,0
,,,,647,9,0,0,9,false,0
,,,,813,9,0,0,9,false,0
,,,,656,9,0,0,9,false,0
,,,,995,9,0,0,9,false,0
,,,,789,9,0,0,9,false,0
,,,,435,8,0,0,8,false,0
,,,,758,8,0,0,8,false,0
,,,,842,8,0,0,8,false,0
,,,,517,8,0,0,8,false,0
,,,,588,8,0,0,8,false,0
,,,,498,8,0,0,8,false,0
,,,,364,9,0,0,9,false,0
,,,,306,9,0,0,9,false,0
,,,,277,9,0,0,9,false,0

202490324,true,30,0,,,,,1551,9,9,0,9,false,0
,,,,1688,9,0,0,9,false,0
,,,,940,9,0,0,9,false,0
,,,,1028,9,0,0,9,false,0
,,,,984,9,0,0,9,false,0
,,,,695,9,0,0,9,false,0
,,,,617,8,0,0,8,false,0
,,,,915,8,0,0,8,false,0
,,,,803,8,0,0,8,false,0
,,,,369,9,0,0,9,false,0
,,,,600,9,0,0,9,false,0
,,,,744,9,0,0,9,false,0
,,,,338,9,0,0,9,false,0
,,,,307,9,0,0,9,false,0
,,,,383,9,0,0,9,false,0
,,,,508,9,0,0,9,false,0
,,,,323,9,0,0,9,false,0
,,,,274,9,0,0,9,false,0
,,,,788,9,0,0,9,false,0
,,,,539,9,0,0,9,false,0
,,,,353,9,0,0,9,false,0
,,,,915,9,0,0,9,false,0
,,,,728,9,0,0,9,false,0
,,,,483,9,0,0,9,false,0
,,,,743,9,0,0,9,false,0
,,,,783,9,0,0,9,false,0
,,,,663,9,0,0,9,false,0
,,,,576,9,0,0,9,false,0
,,,,578,9,0,0,9,false,0
,,,,345,9,0,0,9,false,0

463895613,true,30,0,,,,,1740,9,9,0,9,false,0
,,,,1743,9,0,0,9,false,0
,,,,896,9,0,0,9,false,0
